Vehicle_ID,execution_target,latency_ms,energy_J,workload,workload_scaled,resource_utilization_pct,Vehicle_Type,Vehicle_Priority,fog_node,Slice_Type,offline_mode,Task_ID,task_size,requested_bandwidth_mbps,allocated_bandwidth_mbps,offload_success,handover_latency_ms,queue_length,AI_Optimization_Score,reward,execution_target_offline,latency_ms_offline,queue_length_offline,task_success_offline,chosen_target,cost_vehicle,cost_fog,cost_cloud,chosen_cost,alpha,beta,gamma,is_offline,eff_latency_ms,eff_energy_J
V522,fog,60.22,0.24,4806036,4.806036,86.69,SUV,0,N422,URLLC,0,T108,7853,219,179,1,13.24724071,1.6812,0.839762857,0.727583521,fog,60.22,1.6812,1,fog,25.28678716542781,24.70487334087994,24.724959600631056,24.70487334087994,0.42105263157894735,0.21052631578947367,0.36842105263157887,False,60.22,0.24
V738,fog,66.21,0.2039,10208568,10.208568,87.83,Motorcycle,1,N488,eMBB,1,T5485,6681,122,122,1,16.70428584,2.1454,0.721302011,0.723326494,fog,81.9928026041623,3.040954389491341,1,fog,27.301602873111275,23.220034734338462,21.553911270759897,23.220034734338462,0.38095238095238093,0.28571428571428575,0.3333333333333333,True,66.21,0.2039
V741,fog,64.03,0.2258,8221380,8.22138,85.7,Motorcycle,1,N207,URLLC,1,T6999,5210,284,187,1,15.39196365,2.5761,0.802676394,0.766205055,fog,77.22567346326305,3.1418293408596463,1,fog,25.650064556149275,22.948928871605865,21.93743265521647,22.948928871605865,0.38095238095238093,0.28571428571428575,0.3333333333333333,True,64.03,0.2258
V661,cloud,71.92,0.2004,11578724,11.578724,85.71,Truck,1,N111,mMTC,0,T3985,2663,241,159,1,14.59195091,2.393,0.835641164,0.672395995,cloud,71.92,2.393,1,cloud,30.23265767342931,24.835498333361173,22.5617995136385,22.5617995136385,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,76.9544,0.226452
V412,fog,58.0,0.2353,6633360,6.63336,85.46,Sedan,0,N303,eMBB,0,T3112,9960,256,159,1,11.93611184,2.4898,0.927168719,0.708284679,fog,58.0,2.4898,1,cloud,25.06011945011911,23.353274919169,22.82075162565183,22.82075162565183,0.42105263157894735,0.21052631578947367,0.36842105263157887,False,62.06,0.265889
V679,fog,61.31,0.1918,13051962,13.051962,87.83,Sedan,1,N112,URLLC,0,T4041,3311,203,203,1,11.93596712,2.2975,0.912682976,0.689131223,fog,61.31,2.2975,1,cloud,25.958558749203572,21.096443577987383,19.03300707539509,19.03300707539509,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,65.60170000000001,0.21673399999999998
V627,fog,58.86,0.2224,13001233,13.001233,84.42,Truck,1,N417,URLLC,0,T3014,3511,216,98,1,11.34850167,2.3411,0.829438626,0.6835491,fog,58.86,2.3411,1,cloud,24.93715740570929,20.26605196418681,18.283614807139735,18.283614807139735,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,62.9802,0.251312
V514,vehicle,58.0,0.2337,1800630,1.80063,87.83,SUV,0,N43,URLLC,1,T6608,7410,192,192,1,16.19705687,2.5452,0.859850711,0.77830597,vehicle,65.12708967335408,3.2949830903539405,0,vehicle,23.202173001252685,24.52350266194626,25.44901954056549,23.202173001252685,0.42105263157894735,0.21052631578947367,0.36842105263157887,True,53.940000000000005,0.203319
V860,vehicle,66.75,0.1904,3713024,3.713024,85.13,SUV,1,N347,eMBB,0,T4220,4736,111,63,1,14.60669007,1.7651,0.969248154,0.852290005,vehicle,66.75,1.7651,1,vehicle,24.92273469976883,25.052524841659302,25.416144263820208,24.92273469976883,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,62.0775,0.16564800000000002
V137,cloud,72.0,0.1943,28609581,28.609581,83.71,Sedan,1,N285,URLLC,1,T8751,7007,106,36,1,15.24843547,2.0771,0.779445307,0.654643649,fog,85.42391428980159,2.8286932090178443,1,fog,45.02412648610157,24.85221322581048,22.417231044724844,24.85221322581048,0.38095238095238093,0.28571428571428575,0.3333333333333333,True,72.0,0.1943
V812,fog,72.0,0.1929,21840336,21.840336,85.57,Truck,1,N128,eMBB,0,T5666,7376,163,104,1,11.12350697,1.7281,0.95826436,0.701337638,fog,72.0,1.7281,1,cloud,38.402020633893436,24.808449656068458,22.37991754778562,22.37991754778562,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,77.04,0.21797699999999998
V077,fog,67.84,0.198,11037945,11.037945,84.75,Motorcycle,0,N185,eMBB,1,T9226,4695,170,86,1,16.81945911,2.7254,0.74366023,0.735949304,fog,80.79793231199194,3.9169910740356335,1,fog,31.263203569526205,26.035711576733753,23.85748405220754,26.035711576733753,0.42105263157894735,0.21052631578947367,0.36842105263157887,True,67.84,0.198
V637,vehicle,72.0,0.1822,4541845,4.541845,85.15,Motorcycle,1,N229,URLLC,1,T8031,2761,210,120,1,15.99465584,2.6687,0.984657391,0.836414047,vehicle,83.78061125006576,3.4576364413724443,1,fog,27.23045842548602,26.787752877513896,26.899345032322138,26.787752877513896,0.38095238095238093,0.28571428571428575,0.3333333333333333,True,72.0,0.1822
V974,cloud,59.95,0.2089,31368800,31.3688,86.12,Sedan,1,N389,mMTC,0,T9887,8675,102,74,1,12.27403466,1.5,0.75440185,0.64240327,cloud,59.95,1.5,1,cloud,42.65981328552689,20.826409957398962,18.71731132628522,18.71731132628522,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,64.1465,0.236057
V939,fog,58.0,0.2121,14025072,14.025072,83.87,SUV,1,N221,eMBB,0,T1852,3922,254,93,1,12.0909498,2.3584,0.966468278,0.689914947,fog,58.0,2.3584,1,cloud,24.87505581560372,19.97595733300019,18.021521850365417,18.021521850365417,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,62.06,0.239673
V900,cloud,58.0,0.2097,14204351,14.204351,87.83,Truck,0,N352,mMTC,0,T1124,2971,73,73,1,12.10042706,2.6442,0.927158115,0.640421819,cloud,58.0,2.6442,1,cloud,27.662655384622457,22.05986864511081,19.901627308183553,19.901627308183553,0.42105263157894735,0.21052631578947367,0.36842105263157887,False,62.06,0.23696099999999998
V281,cloud,58.0,0.2164,12170032,12.170032,86.91,Motorcycle,0,N444,URLLC,0,T3044,2527,95,81,1,12.82545346,1.6752,0.863091759,0.638102435,cloud,58.0,1.6752,1,cloud,27.12767548422433,22.046690414746966,19.890448756587574,19.890448756587574,0.42105263157894735,0.21052631578947367,0.36842105263157887,False,62.06,0.244532
V884,vehicle,61.31,0.2333,195263,0.195263,87.83,Truck,1,N117,URLLC,0,T3370,817,132,132,1,14.14853859,2.1793,0.815049486,0.963494238,vehicle,61.31,2.1793,1,vehicle,21.61923872226408,23.844743367358628,25.19319470402466,21.61923872226408,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,57.0183,0.202971
V762,fog,68.66,0.2037,12540288,12.540288,83.11,Truck,1,N70,mMTC,0,T6830,5763,217,53,1,13.59167011,2.6315,0.828972384,0.704175953,fog,68.66,2.6315,1,cloud,29.048956118683236,23.609434182272466,21.30088793131988,21.30088793131988,0.38095238095238093,0.28571428571428575,0.3333333333333333,False,73.4662,0.23018099999999997
V320,cloud,70.29,0.24,32539680,32.53968,87.83,Sedan,0,N386,mMTC,0,T10970,7080,104,104,1,12.74737484,1.5,0.845346701,0.573278991,cloud,70.29,1.5,1,cloud,53.206028015557045,27.278112308563273,24.208951474006405,24.208951474006405,0.42105263157894735,0.21052631578947367,0.36842105263157887,False,75.21030000000002,0.27119999999999994
V550,cloud,58.0,0.2252,39487558,39.487558,87.83,SUV,0,N70,mMTC,0,T3089,7907,169,169,1,14.67111737,2.3477,0.955274939,0.580029633,cloud,58.0,2.3477,1,cloud,55.001577953374905,24.79741136547534,20.056933146963384,20.056933146963384,0.42105263157894735,0.21052631578947367,0.36842105263157887,False,62.06,0.254476
V175,vehicle,59.68,0.2335,1717292,1.717292,87.83,SUV,0,N110,mMTC,0,T9406,4604,99,99,1,11.83696316,1.8272,0.996446078,0.848089278,vehicle,59.68,1.8272,1,vehicle,23.83956071305077,25.25273894930307,26.230862414809668,23.83956071305077,0.42105263157894735,0.21052631578947367,0.36842105263157887,False,55.5024,0.20314500000000002
